"V1","V2","V3","V4","V5"
0.876703997317279,0.815155411385553,0.833515247091138,0.831495801746447,1
0.805226075682766,0.838473108538415,0.923495364571877,0.790558178924643,1
0.843174687218831,0.787892188863674,0.813910794300703,0.854845605251486,1
0.883039414631297,0.675252365931216,0.852513705742879,0.797445188225239,1
0.930552675412425,0.986464944300568,0.701955055500343,0.792875388350744,1
0.70405879091566,0.799608274031241,0.818037580582397,0.729913145932763,1
0.802218961389701,0.77074566036067,0.695468143036187,0.713763348668907,1
0.794853304274254,0.918206479364681,0.881364182444805,0.839792218205727,1
0.820244591182304,0.684981305196717,0.936783256477439,0.777632405601572,1
0.870166594180086,0.920089042644192,0.826449977306885,0.754662261374076,1
0.687299056705125,0.875234813493929,0.721742083545635,0.869485411235999,1
0.645405876318038,0.834738296939658,0.853058962473252,0.761700096614606,1
0.827186863198848,0.733678758891521,0.722817505853534,0.64789798599531,1
0.861848796469167,0.834660368524384,0.963722351062871,0.821795675372883,1
0.789750684686469,0.820377769997831,0.732403510467273,0.861639611978998,1
0.726247581590726,0.611581354372725,0.808794793048582,0.800139107511526,1
0.70353646349108,0.818830676903938,0.643891465370838,0.876275663183546,1
0.755540159189425,0.65466193001531,0.733358766585521,0.753440274083126,1
0.863452854095306,0.681954288048154,0.780712042953051,0.849027387810184,1
0.807715605460599,0.759491435838085,0.861324592829757,0.88384902820933,1
0.843437922822722,0.887566892063925,0.871310049358192,0.906913877640533,1
0.870628432662784,0.723334593958776,0.844188321317293,0.754825175078157,1
0.690491685268896,0.699813078122532,0.744830913565391,0.879882523000432,1
0.661124827156464,0.775012029099455,0.855143769922162,0.732154125397338,1
0.769928928414241,0.740952261833462,0.985736678093373,0.719560943933159,1
0.805895305762861,0.638025160751268,0.760714757927665,0.758082550400793,1
0.798256273262128,0.854311279285979,0.736126787599133,0.750267396537498,1
0.768462436338992,0.777365224714623,0.820251011569494,0.976778366000378,1
0.832214367778679,0.686335275107897,0.821170409154199,0.676058355584175,1
0.954588677195306,0.662273090126084,0.633049271927466,0.758656803861539,1
0.670426471326927,0.709123509390928,0.784527863912513,0.686127896790505,1
